slug,name,price,city_id
bushmill-21yrs-single-malt-700ml,Bushmill 21Yrs Single Malt,49999,31
the-ardmore-highland-single-malt-700ml,The Ardmore Highland Single Malt,3835,31
antiquity-blue-375ml,Antiquity Blue,330,31
bg-cabernet-sauvignon-750ml,B&G Cabernet Sauvignon,1790,31
fratelli-classic-merlot-750ml,Fratelli Classic Merlot,740,31
martell-v-s-o-p-red-barrel-700ml,Martell V.S.O.P. Red Barrel,11000,31
cocalero-classico-700ml,Cocalero Classico,4195,31
five-reserve-pinotage-750ml,Five Reserve Pinotage,1498,31
martini-asti-750ml,Martini Asti,2200,31
jack-daniels-old-no-7-200ml,Jack Daniels Old No 7,853,31
moet-chandon-ice-imperial-750ml,Moet & Chandon Ice Imperial,9606,31
glenmorangie-x-750ml,Glenmorangie X,4495,31
le-grand-noir-cabernet-sauvignon-750ml,Le Grand Noir Cabernet Sauvignon,1600,31
chivas-regal-12-yr-750ml,Chivas Regal 12 Yr,3320,31
balvenie-21-yrs-700ml,Balvenie 21 Yrs,54000,31
tenjaku-whisky-700ml,Tenjaku Whisky,2800,31
ruffino-chianti-750ml,Ruffino Chianti,2950,31
omar-single-malt-bourbon-700ml,Omar Single Malt Bourbon,10000,31
sula-brut-tropical-750ml,Sula Brut Tropical,1495,31
bro-code-light-beer-330ml,Bro Code Light Beer,120,31
grover-la-reserva-white-750ml,Grover La Reserva White,1125,31
bacardi-ocho-8yrs-750ml,Bacardi Ocho 8Yrs,3500,31
don-angel-bianco-tequila-750ml,Don Angel Bianco Tequila,2850,31
budweiser-light-330ml,Budweiser Light,65,31
woodbridge-zinfandel-750ml,Woodbridge Zinfandel,2950,31
golfers-shot-750ml,Golfers Shot,680,31
chivas-xx-ultis-1000ml,Chivas Xx Ultis,18700,31
copper-dog-700ml,Copper Dog,4050,31
trapiche-malbec-750ml,Trapiche Malbec,1550,31
patron-reposado-750ml,Patron Reposado,8100,31
absolut-vodka-750ml,Absolut Vodka,2120,31
nederburg-pinotage-2020-750ml,Nederburg Pinotage 2020,2980,31
glenmorangie-18-750ml,Glenmorangie 18,16344,31
kingfisher-premium-lager-can-500ml,Kingfisher Premium Lager Can,75,31
fratelli-classic-shiraz-750ml,Fratelli Classic Shiraz,645,31
budweiser-strong-can-500ml,Budweiser Strong Can,115,31
sangam-world-malt-750ml,Sangam World Malt,4350,31
woodford-reserve-750ml,Woodford Reserve,6900,31
jagermeister-liqueur-700ml,Jagermeister Liqueur,3285,31
bushmills-original-700ml,Bushmills Original,2375,31
short-story-white-rum-750ml,Short Story White Rum,900,31
trapiche-oak-cask-malbec-750ml,Trapiche Oak Cask Malbec,2130,31
bacardi-limon-750ml,Bacardi Limon,715,31
camino-real-gold-tequila-750ml,Camino Real Gold Tequila,2600,31
x-rated-fusion-liqueur-750ml,X Rated Fusion Liqueur,2650,31
noi-sparkling-375ml,Noi Sparkling,540,31
teeling-small-batch-whiskey-750ml,Teeling Small Batch Whiskey,6995,31
100-pipers-dlx-blended-scotch-375ml,100 Pipers Dlx Blended Scotch,103,31
blenders-pride-reserve-collection-375ml,Blenders Pride Reserve Collection,400,31
aberlour-16-year-700ml,Aberlour 16 Year,9700,31
arthaus-whisky-750ml,Arthaus Collective Blended Malt,3700,31
kingfisher-light-650ml,Kingfisher Light,97,31
corona-can-500ml,Corona Can,150,31
lazzaroni-maraschino-700ml,Lazzaroni Maraschino,4975,31
oaksmith-gold-whisky-180ml,Oaksmith Gold Whisky,170,31
jack-daniels-tennessee-cola-can-330ml,Jack Daniels Tennessee Cola Can,180,31
scottish-leader-blended-scotch-whisky-750ml,Scottish Leader Blended Scotch Whisky,1950,31
magic-moment-orange-180ml,Magic Moment Orange,100,31
jacobs-creek-double-barrel-shiraz-750ml,Jacobs Creek Double Barrel Shiraz,2200,31
singleton-12-yrs-700ml,Singleton 12 Yrs,4900,31
triple-sec-teichenne-700ml,Triple Sec Teichenne,600,31
black-white-180ml,Black & White,350,31
johnnie-walker-black-label-200ml,Johnnie Walker Black Label,1000,31
grover-soiree-rose-brut-750ml,Grover Soiree Rose Brut,1300,31
dewars-15-year-750ml,Dewars 15 Year,4000,31
royal-stag-barrel-select-180ml,Royal Stag Barrel Select,85,31
meukow-vs-cognac-700ml,Meukow Vs Cognac,8750,31
paul-john-roulette-whisky-180ml,Paul John Roulette Whisky,300,31
bacardi-grand-reserva-diez-10-year-rum-750ml,Bacardi Grand Reserva Diez 10 Year Rum,6500,31
johnnie-walker-red-rye-finish-700ml,Johnnie Walker Red Rye Finish,2250,31
godawan-02-fruit-and-spicy-700ml,Godawan 02 Fruit And Spicy,3800,31
ballantine-7yrs-bourbon-barrel-750ml,Ballantine 7Yrs Bourbon Barrel,2580,31
whispering-angel-750ml,Whispering Angel,5621,31
campo-viejo-tempranillo-blanco-750ml,Campo Viejo Tempranillo Blanco,1700,31
grover-la-reserve-red-750ml,Grover La Reserve Red,1125,31
absolut-mandrin-750ml,Absolut Mandrin,2375,31
beefeater-london-dry-gin-750ml,Beefeater London Dry Gin,2200,31
imperial-blue-375ml,Imperial Blue,170,31
kraken-700ml,Kraken,4850,31
kingfisher-premium-malt-strong-650ml,Kingfisher Premium Malt Strong,110,31
fireball-whiskey-750ml,Fireball Whiskey,1100,31
bira-gold-can-500ml,Bira Gold Can,125,31
romanov-750ml,Romanov,280,31
husky-vodka-700ml,Husky Vodka,2200,31
breezer-blueberry-275ml,Breezer Blueberry,100,31
corona-330ml,Corona,120,31
chandon-brut-rose-750ml,Chandon Brut Rose,2600,31
schwartzhog-750ml,Schwartzhog,2550,31
paul-john-roulette-whisky-750ml,Paul John Roulette Whisky,5500,31
old-monk-the-legend-750ml,Old Monk The Legend,715,31
morpheus-brandy-750ml,Morpheus Brandy,630,31
suntory-whisky-toki-700ml,Suntory Whisky Toki,4000,31
blenders-pride-reserve-collection-180ml,Blenders Pride Reserve Collection,200,31
woodbridge-carbnet-sauvignon-750ml,Woodbridge Carbnet Sauvignon,2950,31
bacardi-breezer-lemonade-275ml,Bacardi Breezer Lemonade,110,31
michel-lynch-sauvignon-blanc-750ml,Michel Lynch Sauvignon Blanc,3556,31
sula-rasa-cab-sauvignon-750ml,Sula Rasa Cab Sauvignon,1930,31
johnnie-walker-blue-label-750ml,Johnnie Walker Blue Label,18000,31
grand-macnish-scotch-1000ml,Grand Macnish Scotch,4200,31
oaksmith-international-whisky-180ml,Oaksmith International Whisky,100,31
jacobs-creek-chardonnay-750ml,Jacobs Creek Chardonnay,1500,31
teacher-golden-12yr-750ml,Teacher Golden 12Yr,2600,31
the-glengrant-12yrs-750ml,The Glengrant 12Yrs,4937,31
sula-dindori-reserve-red-wine-750ml,Sula Dindori Reserve Red Wine,1135,31
casa-el-unico-750ml,Casa El Unico,1850,31
glengrant-10-yr-750ml,Glengrant 10 Yr,4000,31
martini-fiero-750ml,Martini Fiero,1900,31
simba-strong-beer-can-500ml,Simba Strong Beer Can,90,31
sula-zinfandel-rose-750ml,Sula Zinfandel Rose,750,31
woodbridge-white-zinfandel-750ml,Woodbridge White Zinfandel,2950,31
codigo-1530-blanco-750ml,Codigo 1530 Blanco,10500,31
baileys-irish-cream-750ml,Baileys Irish Cream,2920,31
godawan-01-rich-and-rounded-700ml,Godawan 01 Rich And Rounded,3800,31
chateauneuf-du-pape-750ml,Chateauneuf Du Pape,7250,31
aultmore-speyside-single-malt-12y-700ml,Aultmore Speyside Single Malt 12Y,6500,31
kah-reposado-700ml,Kah Reposado,12500,31
jim-beam-180ml,Jim Beam,500,31
blender-pride-180ml,Blender Pride,170,31
the-glenfiddich-12-yrs-700ml,The Glenfiddich 12 Yrs,5600,31
tenjaku-pure-malt-700ml,Tenjaku Pure Malt,5899,31
mateus-rose-750ml,Mateus Rose,2100,31
artic-vodka-750ml,Artic Vodka,700,31
singleton-18yrs-750ml,Singleton 18Yrs,11800,31
yamazaki-12-yrs-700ml,Yamazaki 12 Yrs,16555,31
john-barr-reserve-blended-scotch-750ml,John Barr Reserve Blended Scotch,2100,31
baron-de-lestac-bordeaux-750ml,Baron De Lestac Bordeaux,2200,31
smirnoff-vodka-180ml,Smirnoff Vodka,170,31
balvenie-14-yrs-700ml,Balvenie 14 Yrs,12200,31
lucifers-gold-devils-whisky-700ml,Lucifers Gold Devils Whisky,1695,31
macallan-15-yr-750ml,Macallan 15 Yr,35000,31
le-grand-noir-red-blend-750ml,Le Grand Noir Red Blend,1600,31
grover-art-collection-rose-750ml,Grover Art Collection Rose,820,31
budweiser-light-650ml,Budweiser Light,130,31
royal-stag-2000ml,Royal Stag,920,31
oban-14-years-750ml,Oban 14 Years,8000,31
cloudy-bay-sauvignon-blanc-750ml,Cloudy Bay Sauvignon Blanc,5092,31
kingfisher-light-330ml,Kingfisher Light,60,31
amarone-dla-valpolicella-750ml,Amarone Dla Valpolicella,11870,31
royal-challenge-american-pride-750ml,Royal Challenge American Pride,700,31
vat-69-750ml,Vat 69,1060,31
glenfiddich-30-years-700ml,Glenfiddich 30 Years,155000,31
grover-art-collection-chenin-blanc-375ml,Grover Art Collection Chenin Blanc,560,31
grover-soiree-brut-750ml,Grover Soiree Brut,1150,31
amora-red-wine-750ml,Amora Red Wine,375,31
laurent-perrier-rose-750ml,Laurent Perrier Rose,17500,31
